a;b;
ۏ;;
;;
ـ;;
۔;;
ٴ;ٔ;
ہ;ه;
ۃ;ة;
ی;ى;
ڪ;ک;
۪;;
ؐ;;
ؑ;;
ؒ;;
ؓ;;
ؔ;;
ؕ;;
ؖ;;
ؗ;;
ؘ;;
ؙ;;
ؚ;;
ٖ;;
ٗ;;
٘;;
ٙ;;
ٚ;;
ٛ;;
ٜ;;
ٝ;;
ٞ;;
ٟ;;
ٰ;;
ۖ;;
ۗ;;
ۘ;;
ۙ;;
ۚ;;
ۛ;;
ۜ;;
۟;;
۠;;
ۡ;;
ۢ;;
ۣ;;
ۤ;;
ۧ;;
ۨ;;
۪;;
۫;;
۬;;
ۭ;;
࣊;;
࣋;;
࣌;;
࣍;;
࣎;;
࣏;;
࣐;;
࣑;;
࣒;;
࣓;;
ࣔ;;
ࣕ;;
ࣖ;;
ࣗ;;
ࣘ;;
ࣙ;;
ࣚ;;
ࣛ;;
ࣜ;;
ࣝ;;
ࣞ;;
ࣟ;;
࣠;;
࣡;;
ࣣ;;
ࣤ;;
ࣥ;;
ࣦ;;
ࣧ;;
ࣨ;;
ࣩ;;
࣪;;
࣫;;
࣬;;
࣭;;
࣮;;
࣯;;
ࣰ;;
ࣱ;;
ࣲ;;
ࣳ;;
ࣴ;;
ࣵ;;
ࣶ;;
ࣷ;;
ࣸ;;
ࣹ;;
ࣺ;;
ࣻ;;
ࣼ;;
ࣽ;;
ࣾ;;
ࣿ;;
‌;;zero-width-non-joiner
‍;;zero-width-joiner
